economy,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2010-20S,YR2010-20W,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
TUR,,,,,,,18.0739813556415,22.7264515566829,20.1563701646071,10.7650624714756,37.1653489605326,21.8359363718617,37.9888354110641,,,8.76514547365345,26.4066267049993,42.906651358573,36.8976714856625,26.8717167687728,36.6580888495634,41.1242626996646,23.9544234301011,49.5818536736185,,
TZA,,,,,,,,,,,18.3093215200264,,5.12154672010807,,,,34.5487158114118,,7.63238566850787,,,,,,,
UGA,,,,,,,,50.6149989992048,,,,6.99173776966219,,,,,12.3952149336642,,,,10.9199304787683,,,,,
UKR,,,,,,,,,79.0084351663263,,,,,,,9.4746722193518,104.475801817726,,,96.4975673619252,147.991090052683,,618.084924122064,,315.200139286192,
UMC,,,,,,,,,,,,,,75.0429700430597,30.9366568792971,,,,,,,,,,,
URY,,,,,,,,,,,47.8225707001897,57.5764159812732,16.9108629764215,,,86.3750020026632,11.7480467744157,,,37.9147717588572,48.7854114279605,39.558998813067,94.9845494118009,75.7727807399875,82.2799254422307,
UZB,,,,,,,,,,,,,,,,,,,,,,,78.7218532081672,,,
VEN,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,,,,,,,,,26.9947874957721,,,,9.91457664014137,,,,4.98752642406099,,9.67264791311321,,,,,,,
VUT,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,,,,,,,,,,,,,,59.4318974835454,27.2208602235206,,,,,,,,,,,
WSM,,,,,,,,,,,25.784546586852,,,,,,,,,,,,,,,
XKX,,,,,,,,,75.0851190031139,,,,,,,61.6316315102085,50.7291072788273,70.1615526072437,,,,135.410147830605,,,,
YEM,,,,,,,,12.0787316718819,,,,,,,,,,,10.3344755249019,,,,,,,
ZAF,,,,,,,,77.0175895028958,,,,,82.9184561764786,,,,,,115.054831173245,,37.5861984708865,,342.68151454303,58.0481878119766,80.5324473771963,
ZMB,,,,,,,,,,,,,49.1834813437322,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,,,,,,,,,,22.7913837865157,,,,
